model,userId,K,precision,recall,ndcg,num_relevant_test_items,num_recommendations
Content-Based,80,40,0.0,0.0,0.0,4,80
Content-Based,80,80,0.0,0.0,0.0,4,80
Content-Based,2339,5,0.0,0.0,0.0,4,80
Content-Based,2339,10,0.0,0.0,0.0,4,80
Content-Based,2339,20,0.0,0.0,0.0,4,80
Content-Based,2339,40,0.0,0.0,0.0,4,80
Content-Based,2339,80,0.0,0.0,0.0,4,80
Content-Based,5592,5,0.2,0.05,0.43067655807339306,20,80
Content-Based,5592,10,0.1,0.05,0.43067655807339306,20,80
Content-Based,5592,20,0.1,0.1,0.435101206640309,20,80
Content-Based,5592,40,0.05,0.1,0.435101206640309,20,80
Content-Based,5592,80,0.0625,0.25,0.41609979393942065,20,80
Content-Based,2805,5,0.0,0.0,0.0,15,80
Content-Based,2805,10,0.0,0.0,0.0,15,80
Content-Based,2805,20,0.0,0.0,0.0,15,80
Content-Based,2805,40,0.0,0.0,0.0,15,80
Content-Based,2805,80,0.0,0.0,0.0,15,80
Content-Based,764,5,0.0,0.0,0.0,22,80
Content-Based,764,10,0.0,0.0,0.0,22,80
Content-Based,764,20,0.0,0.0,0.0,22,80
Content-Based,764,40,0.025,0.045454545454545456,0.21533827903669653,22,80
Content-Based,764,80,0.05,0.18181818181818182,0.29218400546998574,22,80
Content-Based,1600,5,0.0,0.0,0.0,41,80
Content-Based,1600,10,0.0,0.0,0.0,41,80
Content-Based,1600,20,0.0,0.0,0.0,41,80
Content-Based,1600,40,0.0,0.0,0.0,41,80
Content-Based,1600,80,0.0,0.0,0.0,41,80
Content-Based,2290,5,0.0,0.0,0.0,7,80
Content-Based,2290,10,0.0,0.0,0.0,7,80
Content-Based,2290,20,0.0,0.0,0.0,7,80
Content-Based,2290,40,0.0,0.0,0.0,7,80
Content-Based,2290,80,0.0,0.0,0.0,7,80
Content-Based,5263,5,0.0,0.0,0.0,16,80
Content-Based,5263,10,0.0,0.0,0.0,16,80
Content-Based,5263,20,0.0,0.0,0.0,16,80
Content-Based,5263,40,0.0,0.0,0.0,16,80
Content-Based,5263,80,0.0,0.0,0.0,16,80
Content-Based,5444,5,0.0,0.0,0.0,3,80
Content-Based,5444,10,0.0,0.0,0.0,3,80
Content-Based,5444,20,0.0,0.0,0.0,3,80
Content-Based,5444,40,0.0,0.0,0.0,3,80
Content-Based,5444,80,0.0,0.0,0.0,3,80
Content-Based,1885,5,0.0,0.0,0.0,7,80
Content-Based,1885,10,0.1,0.14285714285714285,0.31546487678572877,7,80
Content-Based,1885,20,0.05,0.14285714285714285,0.31546487678572877,7,80
Content-Based,1885,40,0.05,0.2857142857142857,0.3183827646403191,7,80
Content-Based,1885,80,0.0375,0.42857142857142855,0.3260008859015137,7,80
Content-Based,4735,5,0.0,0.0,0.0,15,80
Content-Based,4735,10,0.1,0.06666666666666667,0.3010299956639812,15,80
Content-Based,4735,20,0.1,0.13333333333333333,0.34561852186877634,15,80
Content-Based,4735,40,0.075,0.2,0.3575525624881587,15,80
Content-Based,4735,80,0.05,0.26666666666666666,0.3635270561433654,15,80
Content-Based,2193,5,0.0,0.0,0.0,4,80
Content-Based,2193,10,0.0,0.0,0.0,4,80
Content-Based,2193,20,0.0,0.0,0.0,4,80
