model,userId,K,precision,recall,ndcg,num_relevant_test_items,num_recommendations
Clustering-TMDB,4251,20,0.0,0.0,0.0,10,80
Clustering-TMDB,4251,40,0.0,0.0,0.0,10,80
Clustering-TMDB,4251,80,0.0,0.0,0.0,10,80
Clustering-TMDB,4223,5,0.0,0.0,0.0,12,80
Clustering-TMDB,4223,10,0.1,0.08333333333333333,0.3010299956639812,12,80
Clustering-TMDB,4223,20,0.05,0.08333333333333333,0.3010299956639812,12,80
Clustering-TMDB,4223,40,0.075,0.25,0.3355976232501645,12,80
Clustering-TMDB,4223,80,0.0375,0.25,0.3355976232501645,12,80
Clustering-TMDB,1162,5,0.2,0.05263157894736842,1.0,19,80
Clustering-TMDB,1162,10,0.1,0.05263157894736842,1.0,19,80
Clustering-TMDB,1162,20,0.1,0.10526315789473684,0.7574875071481796,19,80
Clustering-TMDB,1162,40,0.05,0.10526315789473684,0.7574875071481796,19,80
Clustering-TMDB,1162,80,0.025,0.10526315789473684,0.7574875071481796,19,80
Clustering-TMDB,1401,5,0.0,0.0,0.0,9,80
Clustering-TMDB,1401,10,0.1,0.1111111111111111,0.3562071871080222,9,80
Clustering-TMDB,1401,20,0.05,0.1111111111111111,0.3562071871080222,9,80
Clustering-TMDB,1401,40,0.025,0.1111111111111111,0.3562071871080222,9,80
Clustering-TMDB,1401,80,0.025,0.2222222222222222,0.32059863561240726,9,80
Clustering-TMDB,4354,5,0.0,0.0,0.0,73,80
Clustering-TMDB,4354,10,0.0,0.0,0.0,73,80
Clustering-TMDB,4354,20,0.05,0.0136986301369863,0.2559580248098155,73,80
Clustering-TMDB,4354,40,0.025,0.0136986301369863,0.2559580248098155,73,80
Clustering-TMDB,4354,80,0.0125,0.0136986301369863,0.2559580248098155,73,80
Clustering-TMDB,882,5,0.0,0.0,0.0,12,80
Clustering-TMDB,882,10,0.0,0.0,0.0,12,80
Clustering-TMDB,882,20,0.0,0.0,0.0,12,80
Clustering-TMDB,882,40,0.0,0.0,0.0,12,80
