model,userId,K,precision,recall,ndcg,num_relevant_test_items,num_recommendations
SVD Matrix Factorization,2968,80,0.0625,0.1388888888888889,0.3878039008789672,36,80
SVD Matrix Factorization,255,5,0.2,0.02564102564102564,1.0,39,80
SVD Matrix Factorization,255,10,0.2,0.05128205128205128,0.7903864795495061,39,80
SVD Matrix Factorization,255,20,0.15,0.07692307692307693,0.7281865386479277,39,80
SVD Matrix Factorization,255,40,0.2,0.20512820512820512,0.6610670917648269,39,80
SVD Matrix Factorization,255,80,0.15,0.3076923076923077,0.639637987412623,39,80
SVD Matrix Factorization,2551,5,0.0,0.0,0.0,6,80
SVD Matrix Factorization,2551,10,0.0,0.0,0.0,6,80
SVD Matrix Factorization,2551,20,0.0,0.0,0.0,6,80
SVD Matrix Factorization,2551,40,0.0,0.0,0.0,6,80
SVD Matrix Factorization,2551,80,0.0125,0.16666666666666666,0.1729696904450771,6,80
SVD Matrix Factorization,1194,5,0.4,0.03389830508474576,0.9197207891481876,59,80
SVD Matrix Factorization,1194,10,0.3,0.05084745762711865,0.8519590445170673,59,80
SVD Matrix Factorization,1194,20,0.15,0.05084745762711865,0.8519590445170673,59,80
SVD Matrix Factorization,1194,40,0.125,0.0847457627118644,0.765760318171531,59,80
SVD Matrix Factorization,1194,80,0.15,0.2033898305084746,0.6763083855350261,59,80
SVD Matrix Factorization,222,5,0.2,0.08333333333333333,0.38685280723454163,12,80
SVD Matrix Factorization,222,10,0.3,0.25,0.4843542209360027,12,80
SVD Matrix Factorization,222,20,0.15,0.25,0.4843542209360027,12,80
SVD Matrix Factorization,222,40,0.1,0.3333333333333333,0.47843074820141873,12,80
SVD Matrix Factorization,222,80,0.05,0.3333333333333333,0.47843074820141873,12,80
SVD Matrix Factorization,1742,5,0.0,0.0,0.0,6,80
SVD Matrix Factorization,1742,10,0.0,0.0,0.0,6,80
SVD Matrix Factorization,1742,20,0.0,0.0,0.0,6,80
SVD Matrix Factorization,1742,40,0.0,0.0,0.0,6,80
SVD Matrix Factorization,1742,80,0.0,0.0,0.0,6,80
SVD Matrix Factorization,4251,5,0.4,0.2,0.9197207891481876,10,80
SVD Matrix Factorization,4251,10,0.3,0.3,0.8710785440003369,10,80
SVD Matrix Factorization,4251,20,0.15,0.3,0.8710785440003369,10,80
SVD Matrix Factorization,4251,40,0.075,0.3,0.8710785440003369,10,80
SVD Matrix Factorization,4251,80,0.0625,0.5,0.7502012175333546,10,80
SVD Matrix Factorization,4223,5,0.2,0.08333333333333333,0.6309297535714575,12,80
SVD Matrix Factorization,4223,10,0.1,0.08333333333333333,0.6309297535714575,12,80
